TypeName,Category,Emoji,canBePet
Turtle,aquatic,🐢,yes
SpoutingWhale,aquatic,🐳,no
Whale,aquatic,🐋,no
Blowfish,aquatic,🐡,yes
Fish,aquatic,🐟,yes
Octopus,aquatic,🐙,no
Shark,aquatic,🦈,no
Swan,bird,🦢,no
TropicalFish,aquatic,🐠,yes
Seal,aquatic,🦭,no
Dolphin,aquatic,🐬,no
Frog,aquatic,🐸,yes
BabyChick,bird,🐤,yes
BabyDuck,bird,🐥,no
Bird,bird,🐦,yes
Chicken,bird,🐔,yes
Dodo,bird,🦤,no
Dove,bird,🕊️,no
Duck,bird,🦆,no
Eagle,bird,🦅,no
Flamingo,bird,🦩,no
HatchingChick,bird,🐣,yes
Owl,bird,🦉,no
Parrot,bird,🦜,yes
Peacock,bird,🦚,no
Penguin,bird,🐧,no
Rooster,bird,🐓,yes
Turkey,bird,🦃,yes
Dragon,imaginary,🐉,no
DragonFace,imaginary,🐲,no
Unicorn,imaginary,🦄,no
Ant,insect,🐜,no
Beetle,insect,🪲,no
Bug,insect,🐛,no
Butterfly,insect,🦋,no
Cockroach,insect,🪳,no
Cricket,insect,🦗,no
Fly,insect,🪰,no
Honeybee,insect,🐝,no
LadyBeetle,insect,🐞,no
Mosquito,insect,🦟,no
Scorpion,insect,🦂,no
Snail,insect,🐌,no
Spider,insect,🕷️,no
Worm,insect,🪱,no
MouseFace,mammal,🐭,yes
Badger,mammal,🦡,no
Bat,mammal,🦇,no
Bear,mammal,🐻,no
Beaver,mammal,🦫,no
Bison,mammal,🦬,no
BlackCat,mammal,🐈‍⬛,yes
Boar,mammal,🐗,no
Camel,mammal,🐪,no
TwoHumpCamel,mammal,🐫,no
Cat,mammal,🐈,yes
CatFace,mammal,🐱,yes
Chipmunk,mammal,🐿️,no
Cow,mammal,🐄,no
CowFace,mammal,🐮,no
Deer,mammal,🦌,no
Dog,mammal,🐕,yes
DogFace,mammal,🐶,yes
Elephant,mammal,🐘,no
Ewe,mammal,🐑,no
Fox,mammal,🦊,no
Giraffe,mammal,🦒,no
Goat,mammal,🐐,yes
Gorilla,mammal,🦍,no
GuideDog,mammal,🦮,yes
Hamster,mammal,🐹,yes
Hedgehog,mammal,🦔,yes
Hippopotamus,mammal,🦛,no
Horse,mammal,🐎,yes
HorseFace,mammal,🐴,yes
Kangaroo,mammal,🦘,no
Koala,mammal,🐨,no
Leopard,mammal,🐆,no
Lion,mammal,🦁,no
Llama,mammal,🦙,no
Mammoth,mammal,🦣,no
Monkey,mammal,🐒,no
MonkeyFace,mammal,🐵,no
Mouse,mammal,🐁,yes
Orangutan,mammal,🦧,no
Otter,mammal,🦦,no
Ox,mammal,🐂,no
Panda,mammal,🐼,no
Pig,mammal,🐖,yes
PigFace,mammal,🐷,yes
PolarBear,mammal,🐻‍❄️,no
Poodle,mammal,🐩,yes
Rabbit,mammal,🐇,yes
RabbitFace,mammal,🐰,yes
Raccoon,mammal,🦝,no
Ram,mammal,🐏,no
Rat,mammal,🐀,yes
Rhinoceros,mammal,🦏,no
ServiceDog,mammal,🐕‍🦺,yes
Skunk,mammal,🦨,no
Sloth,mammal,🦥,no
Tiger,mammal,🐅,no
TigerFace,mammal,🐯,no
WaterBuffalo,mammal,🐃,no
Wolf,mammal,🐺,no
Zebra,mammal,🦓,no
Crocodile,reptile,🐊,no
Lizard,reptile,🦎,yes
Snake,reptile,🐍,yes
